Component,Number,Cost per unit (EUR),Total cost (EUR),Source of materials,Material
"Bio-Chem Valve 100P Pinch Valve, 12V, 3-way, 1/8""; 100PD3MP12-02B",1,160.71,160.71,`msscientific <https://www.bio-chemvalve.de/pinch_valves.htm>`_,
Spring steel mounting clip for 100P pinch valves; MC-100,1,2.91,2.52,`msscientific <https://www.bio-chemvalve.de/mounting_options.htm>`_,
"Ismatec Reglo ICC, 4 independent-channel, 8-roller peristaltic pump [#f2]_ ",2,2234.83,4469.66,`Cole-Parmer <https://www.coleparmer.com/i/ismatec-reglo-icc-digital-peristaltic-pump-4-channel-8-roller-100-to-240-vac/7800180>`_,
USB-A to USB-Mini-B cable,3 [#f3]_ ,1.84,5.52,`Amazon (DE) <https://www.amazon.de/PremiumCord-Kabel-USB-B-Mini-5pins/dp/B07NSMMVB2>`_,
"PharMed BPT Tubing, 1.52mm ID, 3.22mm OD - 100ft",1,176.72,176.72,`Cole-Parmer <https://www.coleparmer.com/i/ismatec-pump-tubing-pharmed-bpt-1-52-mm-id-100-ft/9580936>`_,Ismaprene
"ParMed BPT 3-stop tubing, 1.52mm ID (yellow/blue) - 12/pk",1,98.56,98.56,`Cole-Parmer <https://www.coleparmer.com/i/ismatec-pump-tubing-3-stop-pharmed-bpt-1-52-mm-id-12-pk/9571436>`_,Ismaprene
"Assorted 1/16"" fittings",,,,Cole-Parmer,PTFE or PVDF
